id,kind,eligible_people,active_share,redeemed_fraction_among_active,annual_ceiling_aud_2026,formula,result,unit,limit
B-C600-U0.25-R0.50,base-service cash cost,1000000,0.25,0.50,600,N * u * r * C,75000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U0.25-R1.00,base-service cash cost,1000000,0.25,1.00,600,N * u * r * C,150000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U0.50-R0.50,base-service cash cost,1000000,0.50,0.50,600,N * u * r * C,150000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U0.50-R1.00,base-service cash cost,1000000,0.50,1.00,600,N * u * r * C,300000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U0.75-R0.50,base-service cash cost,1000000,0.75,0.50,600,N * u * r * C,225000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U0.75-R1.00,base-service cash cost,1000000,0.75,1.00,600,N * u * r * C,450000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U1.00-R0.50,base-service cash cost,1000000,1.00,0.50,600,N * u * r * C,300000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C600-U1.00-R1.00,base-service cash cost,1000000,1.00,1.00,600,N * u * r * C,600000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-MAX-600,maximum base entitlement exposure,1000000,,,600,N * C,600000000,AUD_2026_per_year,Full redemption by every eligible person; same exclusions
B-C1200-U0.25-R0.50,base-service cash cost,1000000,0.25,0.50,1200,N * u * r * C,150000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U0.25-R1.00,base-service cash cost,1000000,0.25,1.00,1200,N * u * r * C,300000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U0.50-R0.50,base-service cash cost,1000000,0.50,0.50,1200,N * u * r * C,300000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U0.50-R1.00,base-service cash cost,1000000,0.50,1.00,1200,N * u * r * C,600000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U0.75-R0.50,base-service cash cost,1000000,0.75,0.50,1200,N * u * r * C,450000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U0.75-R1.00,base-service cash cost,1000000,0.75,1.00,1200,N * u * r * C,900000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U1.00-R0.50,base-service cash cost,1000000,1.00,0.50,1200,N * u * r * C,600000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C1200-U1.00-R1.00,base-service cash cost,1000000,1.00,1.00,1200,N * u * r * C,1200000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-MAX-1200,maximum base entitlement exposure,1000000,,,1200,N * C,1200000000,AUD_2026_per_year,Full redemption by every eligible person; same exclusions
B-C2400-U0.25-R0.50,base-service cash cost,1000000,0.25,0.50,2400,N * u * r * C,300000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C2400-U0.25-R1.00,base-service cash cost,1000000,0.25,1.00,2400,N * u * r * C,600000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C2400-U0.50-R0.50,base-service cash cost,1000000,0.50,0.50,2400,N * u * r * C,600000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C2400-U0.50-R1.00,base-service cash cost,1000000,0.50,1.00,2400,N * u * r * C,1200000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C2400-U0.75-R0.50,base-service cash cost,1000000,0.75,0.50,2400,N * u * r * C,900000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C2400-U0.75-R1.00,base-service cash cost,1000000,0.75,1.00,2400,N * u * r * C,1800000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
B-C2400-U1.00-R0.50,base-service cash cost,1000000,1.00,0.50,2400,N * u * r * C,1200000000.0000,AUD_2026_per_year,Normalised denominator; excludes support/admin/infrastructure/evaluation/venture; not Australia population
