population,annual_ceiling,uptake,redemption,service,admin,optional_help,infrastructure,devices,evaluation,projects,total,base_maximum,one_off,description
18000000,600,0.25,0.5,1350000000.000,67500000.00000,90000000.000,500000000,100000000,100000000,250000000,2457500000.00000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.25,0.75,2025000000.0000,101250000.000000,90000000.000,500000000,100000000,100000000,250000000,3166250000.000000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.25,1.0,2700000000.000,135000000.00000,90000000.000,500000000,100000000,100000000,250000000,3875000000.00000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.5,0.5,2700000000.00,135000000.0000,180000000.00,500000000,100000000,100000000,250000000,3965000000.0000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.5,0.75,4050000000.000,202500000.00000,180000000.00,500000000,100000000,100000000,250000000,5382500000.00000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.5,1.0,5400000000.00,270000000.0000,180000000.00,500000000,100000000,100000000,250000000,6800000000.0000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.75,0.5,4050000000.000,202500000.00000,270000000.000,500000000,100000000,100000000,250000000,5472500000.00000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.75,0.75,6075000000.0000,303750000.000000,270000000.000,500000000,100000000,100000000,250000000,7598750000.000000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,0.75,1.0,8100000000.000,405000000.00000,270000000.000,500000000,100000000,100000000,250000000,9725000000.00000,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,600,1,1,10800000000,540000000.00,360000000.0,500000000,100000000,100000000,250000000,12650000000.00,10800000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
18000000,1200,0.25,0.5,2700000000.000,135000000.00000,90000000.000,500000000,100000000,100000000,250000000,3875000000.00000,21600000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
