age,resident_population,reference_date,source_worksheet,source_cell,source_series_id
0,299871,2025-06-30,xl/worksheets/sheet2.xml,GV65,A2159122J
1,292565,2025-06-30,xl/worksheets/sheet2.xml,GW65,A2159123K
2,297247,2025-06-30,xl/worksheets/sheet2.xml,GX65,A2159124L
3,317636,2025-06-30,xl/worksheets/sheet2.xml,GY65,A2159125R
4,309964,2025-06-30,xl/worksheets/sheet2.xml,GZ65,A2159126T
5,308758,2025-06-30,xl/worksheets/sheet2.xml,HA65,A2159127V
6,316292,2025-06-30,xl/worksheets/sheet2.xml,HB65,A2159128W
7,318694,2025-06-30,xl/worksheets/sheet2.xml,HC65,A2159129X
8,325421,2025-06-30,xl/worksheets/sheet2.xml,HD65,A2159130J
9,334692,2025-06-30,xl/worksheets/sheet2.xml,HE65,A2159131K
10,332524,2025-06-30,xl/worksheets/sheet2.xml,HF65,A2159132L
11,335877,2025-06-30,xl/worksheets/sheet2.xml,HG65,A2159133R
12,339168,2025-06-30,xl/worksheets/sheet2.xml,HH65,A2159134T
13,338928,2025-06-30,xl/worksheets/sheet2.xml,HI65,A2159135V
14,336123,2025-06-30,xl/worksheets/sheet2.xml,HJ65,A2159136W
15,339754,2025-06-30,xl/worksheets/sheet2.xml,HK65,A2159137X
16,337135,2025-06-30,xl/worksheets/sheet2.xml,HL65,A2159138A
17,338081,2025-06-30,xl/worksheets/sheet2.xml,HM65,A2159139C
18,342301,2025-06-30,xl/worksheets/sheet2.xml,HN65,A2159140L
19,347015,2025-06-30,xl/worksheets/sheet2.xml,HO65,A2159141R
20,350302,2025-06-30,xl/worksheets/sheet2.xml,HP65,A2159142T
21,351553,2025-06-30,xl/worksheets/sheet2.xml,HQ65,A2159143V
22,354924,2025-06-30,xl/worksheets/sheet2.xml,HR65,A2159144W
23,368376,2025-06-30,xl/worksheets/sheet2.xml,HS65,A2159145X
24,388852,2025-06-30,xl/worksheets/sheet2.xml,HT65,A2159146A
25,398476,2025-06-30,xl/worksheets/sheet2.xml,HU65,A2159147C
26,398781,2025-06-30,xl/worksheets/sheet2.xml,HV65,A2159148F
27,405106,2025-06-30,xl/worksheets/sheet2.xml,HW65,A2159149J
28,410059,2025-06-30,xl/worksheets/sheet2.xml,HX65,A2159150T
29,412790,2025-06-30,xl/worksheets/sheet2.xml,HY65,A2159151V
30,418265,2025-06-30,xl/worksheets/sheet2.xml,HZ65,A2159152W
31,413114,2025-06-30,xl/worksheets/sheet2.xml,IA65,A2159153X
32,410811,2025-06-30,xl/worksheets/sheet2.xml,IB65,A2159154A
33,408797,2025-06-30,xl/worksheets/sheet2.xml,IC65,A2159155C
34,413851,2025-06-30,xl/worksheets/sheet2.xml,ID65,A2159156F
35,413217,2025-06-30,xl/worksheets/sheet2.xml,IE65,A2159157J
36,405665,2025-06-30,xl/worksheets/sheet2.xml,IF65,A2159158K
37,401146,2025-06-30,xl/worksheets/sheet2.xml,IG65,A2159159L
38,399089,2025-06-30,xl/worksheets/sheet2.xml,IH65,A2159160W
39,399542,2025-06-30,xl/worksheets/sheet2.xml,II65,A2159161X
40,395930,2025-06-30,xl/worksheets/sheet2.xml,IJ65,A2159162A
41,390949,2025-06-30,xl/worksheets/sheet2.xml,IK65,A2159163C
42,388073,2025-06-30,xl/worksheets/sheet2.xml,IL65,A2159164F
43,374799,2025-06-30,xl/worksheets/sheet2.xml,IM65,A2159165J
44,362948,2025-06-30,xl/worksheets/sheet2.xml,IN65,A2159166K
45,344759,2025-06-30,xl/worksheets/sheet2.xml,IO65,A2159167L
46,335903,2025-06-30,xl/worksheets/sheet2.xml,IP65,A2159168R
47,325572,2025-06-30,xl/worksheets/sheet2.xml,IQ65,A2159169T
48,322448,2025-06-30,xl/worksheets/sheet3.xml,B65,A2159170A
49,322452,2025-06-30,xl/worksheets/sheet3.xml,C65,A2159171C
50,324735,2025-06-30,xl/worksheets/sheet3.xml,D65,A2159172F
51,329136,2025-06-30,xl/worksheets/sheet3.xml,E65,A2159173J
52,335946,2025-06-30,xl/worksheets/sheet3.xml,F65,A2159174K
53,347234,2025-06-30,xl/worksheets/sheet3.xml,G65,A2159175L
54,349627,2025-06-30,xl/worksheets/sheet3.xml,H65,A2159176R
55,326177,2025-06-30,xl/worksheets/sheet3.xml,I65,A2159177T
56,321054,2025-06-30,xl/worksheets/sheet3.xml,J65,A2159178V
57,307448,2025-06-30,xl/worksheets/sheet3.xml,K65,A2159179W
58,300328,2025-06-30,xl/worksheets/sheet3.xml,L65,A2159180F
59,298922,2025-06-30,xl/worksheets/sheet3.xml,M65,A2159181J
60,301735,2025-06-30,xl/worksheets/sheet3.xml,N65,A2159182K
61,309497,2025-06-30,xl/worksheets/sheet3.xml,O65,A2159183L
62,312155,2025-06-30,xl/worksheets/sheet3.xml,P65,A2159184R
63,308556,2025-06-30,xl/worksheets/sheet3.xml,Q65,A2159185T
64,304494,2025-06-30,xl/worksheets/sheet3.xml,R65,A2159186V
65,292258,2025-06-30,xl/worksheets/sheet3.xml,S65,A2159187W
66,285550,2025-06-30,xl/worksheets/sheet3.xml,T65,A2159188X
67,278198,2025-06-30,xl/worksheets/sheet3.xml,U65,A2159189A
68,269296,2025-06-30,xl/worksheets/sheet3.xml,V65,A2159190K
69,262663,2025-06-30,xl/worksheets/sheet3.xml,W65,A2159191L
70,253161,2025-06-30,xl/worksheets/sheet3.xml,X65,A2159192R
71,243933,2025-06-30,xl/worksheets/sheet3.xml,Y65,A2159193T
72,239475,2025-06-30,xl/worksheets/sheet3.xml,Z65,A2159194V
73,230387,2025-06-30,xl/worksheets/sheet3.xml,AA65,A2159195W
74,225751,2025-06-30,xl/worksheets/sheet3.xml,AB65,A2159196X
75,218534,2025-06-30,xl/worksheets/sheet3.xml,AC65,A2159197A
76,209286,2025-06-30,xl/worksheets/sheet3.xml,AD65,A2159198C
77,206755,2025-06-30,xl/worksheets/sheet3.xml,AE65,A2159199F
78,207644,2025-06-30,xl/worksheets/sheet3.xml,AF65,A2159200C
79,169001,2025-06-30,xl/worksheets/sheet3.xml,AG65,A2159201F
80,156570,2025-06-30,xl/worksheets/sheet3.xml,AH65,A2159202J
81,143051,2025-06-30,xl/worksheets/sheet3.xml,AI65,A2159203K
82,124240,2025-06-30,xl/worksheets/sheet3.xml,AJ65,A2159204L
83,117076,2025-06-30,xl/worksheets/sheet3.xml,AK65,A2159205R
84,103797,2025-06-30,xl/worksheets/sheet3.xml,AL65,A2159206T
85,95259,2025-06-30,xl/worksheets/sheet3.xml,AM65,A2159207V
86,85453,2025-06-30,xl/worksheets/sheet3.xml,AN65,A2159208W
87,75527,2025-06-30,xl/worksheets/sheet3.xml,AO65,A2159209X
88,66324,2025-06-30,xl/worksheets/sheet3.xml,AP65,A2159210J
89,56441,2025-06-30,xl/worksheets/sheet3.xml,AQ65,A2159211K
90,46765,2025-06-30,xl/worksheets/sheet3.xml,AR65,A2159212L
91,38391,2025-06-30,xl/worksheets/sheet3.xml,AS65,A2159213R
92,32240,2025-06-30,xl/worksheets/sheet3.xml,AT65,A2159214T
93,26153,2025-06-30,xl/worksheets/sheet3.xml,AU65,A2159215V
94,21924,2025-06-30,xl/worksheets/sheet3.xml,AV65,A2159216W
95,17413,2025-06-30,xl/worksheets/sheet3.xml,AW65,A2159217X
96,12783,2025-06-30,xl/worksheets/sheet3.xml,AX65,A2159218A
97,9193,2025-06-30,xl/worksheets/sheet3.xml,AY65,A2159219C
98,6511,2025-06-30,xl/worksheets/sheet3.xml,AZ65,A2159220L
99,5039,2025-06-30,xl/worksheets/sheet3.xml,BA65,A2159221R
100,7345,2025-06-30,xl/worksheets/sheet3.xml,BB65,A2159222T
